,open,high,low,close,volume
2023-01-01 09:30:00,149.4717897149615,150.11649374939955,149.4638945557564,150.0,19428
2023-01-01 09:31:00,149.36511637969855,150.53760665085036,148.89048756994447,150.23852136885506,17642
2023-01-01 09:32:00,149.0422190484415,150.23471352862882,149.03111917199658,150.19122734849378,87491
2023-01-01 09:33:00,150.2753550987812,151.05124620829346,150.0435003730635,150.4980778806593,41771
2023-01-01 09:34:00,150.6624408028621,151.34132650679211,150.17184059878738,151.20076688628018,11097
2023-01-01 09:35:00,151.2133863725929,152.31809456267627,151.06072145436457,151.1096744534873,79743
2023-01-01 09:36:00,150.68023427844506,152.73805692284398,150.44066767925756,151.01864434290627,89096
2023-01-01 09:37:00,152.4727781441763,152.6858990944299,150.6280034471688,151.74921794292115,24426
2023-01-01 09:38:00,152.49588977902926,152.89864711231323,151.9270470797882,152.11376572462902,67333
2023-01-01 09:39:00,152.21452254692844,152.24914585617643,151.72090309127515,151.914736550934,44463
2023-01-01 09:40:00,151.66765502028989,153.15727538707225,150.88017366835672,152.1771966228424,72249
2023-01-01 09:41:00,151.96791946365718,151.99187497660037,151.9176760071154,151.9808495264318,41079
2023-01-01 09:42:00,151.47873125468558,152.72182793460493,151.15879050590934,151.78370160059242,21404
2023-01-01 09:43:00,152.2240395384655,152.86178455089492,151.19080634359707,151.90905775843044,72447
2023-01-01 09:44:00,150.79229394002382,151.60441155084942,150.6713873130518,151.05231486662493,4954
2023-01-01 09:45:00,149.8807019823326,150.6903571415401,149.87901386973587,150.28576160344414,70848
2023-01-01 09:46:00,150.44593921218893,150.5842486268708,148.56419526590494,150.04727875088818,97411
2023-01-01 09:47:00,150.43533089745196,151.39742473044348,149.23592916288754,149.6063658184421,56331
2023-01-01 09:48:00,151.26240005896003,151.398591573495,149.53446961836892,149.7623666592171,56931
2023-01-01 09:49:00,149.38490172080012,149.8822506153,149.135669364167,149.3693793922822,19440
2023-01-01 09:50:00,148.83808787304784,149.9592277972148,148.29139576825207,148.75145154807583,59407
2023-01-01 09:51:00,148.645942747498,149.70664451910446,147.93687623081587,149.42037883874082,82364
2023-01-01 09:52:00,149.57011398811497,149.70677429342868,149.2418785159361,149.33411413557016,31898
2023-01-01 09:53:00,150.0241695677549,150.64325150495307,149.21742412573337,149.37930034086244,47720
2023-01-01 09:54:00,148.85863235447923,148.8824839247661,148.5629509272181,148.7557546092411,46428
2023-01-01 09:55:00,148.45302412955667,149.13132404698683,148.43531708525578,148.5276899957531,16427
2023-01-01 09:56:00,148.84808735363046,149.2071824374005,147.97657899317488,148.59196799280653,96177
2023-01-01 09:57:00,148.29612237828516,148.88684358352768,148.0047387154262,148.09374198715705,23169
2023-01-01 09:58:00,148.27867818975457,149.8134440993001,147.94124488918365,148.27546693753766,46419
2023-01-01 09:59:00,147.9554556021263,148.03942288359767,147.8679226165789,148.02311453760603,52065
2023-01-01 10:00:00,148.15994536092208,148.7380482116318,147.57001315533284,147.90838459705313,68487
